time_value,reinfect,cases,perc_reinfect
2021-10-09,156,31528,0.494798275
2021-10-16,130,30120,0.431606906
2021-10-23,156,30926,0.50442993
2021-10-30,130,26996,0.481552823
2021-11-06,114,24205,0.470977071
2021-11-13,125,23580,0.530110263
2021-11-20,135,21037,0.641726482
2021-11-27,93,15825,0.587677725
2021-12-04,177,22155,0.798916723
2021-12-11,167,17878,0.934108961
2021-12-18,460,27338,1.682639549
2021-12-25,1570,62542,2.51031307
2022-01-01,3036,116128,2.614356572
2022-01-08,7885,267692,2.945549363
2022-01-15,8440,275298,3.065768731
2022-01-22,7277,223478,3.256248937
2022-01-29,5214,150882,3.455680598
2022-02-05,3026,88250,3.428895184
2022-02-12,1643,49776,3.300787528
2022-02-19,847,27374,3.094176956
2022-02-26,470,15116,3.109288171
2022-03-05,334,10648,3.136739294
2022-03-12,229,6947,3.29638693
2022-03-19,209,6126,3.411687888
2022-03-26,198,7342,2.696812858
2022-04-02,229,9206,2.487508147
2022-04-09,261,12185,2.141977842
2022-04-16,408,15760,2.588832487
2022-04-23,627,21682,2.891799649
2022-04-30,868,27305,3.178904962
2022-05-07,983,31871,3.084308619
2022-05-14,1277,38235,3.339871845
2022-05-21,1329,41828,3.177297504
2022-05-28,1350,40933,3.29807246
2022-06-04,1329,36491,3.641993916
2022-06-11,1434,35213,4.07235964
2022-06-18,1570,35869,4.377038668
2022-06-25,1737,38182,4.549264051
2022-07-02,1863,37628,4.951100244
2022-07-09,1842,36316,5.072144509
2022-07-16,1936,35423,5.465375603
2022-07-23,1916,32723,5.855208874
2022-07-30,1832,28426,6.444804053
2022-08-06,1497,23220,6.447028424
2022-08-13,1444,21701,6.654071241
2022-08-20,1224,18471,6.626603866
2022-08-27,1130,16114,7.012535683
2022-09-03,942,13874,6.789678535
2022-09-10,847,12721,6.658281582
2022-09-17,942,14379,6.55122053
2022-09-24,837,14737,5.679582004
